trait	fac	tier	figH	kind	type	inst	unit	ratio	p50	ratio50	over	groupMax	atFrame	frames
swarmLastStand	xianghuo	2	1.0019	emblem:tornflag	prop	-	0.9184	0.917	0.6864	0.685	OVER	0.9184	33	55
swarmLastStand	xianghuo	2	1.0019	trail	other	-	0	0	0	0		0	0	55
