trait	fac	tier	figH	kind	type	inst	unit	ratio	p50	ratio50	over	groupMax	atFrame	frames
wardHpFirst	xianghuo	2	1.5421	prop:talis	prop	inst	0.186	0.121	0.186	0.121		0.1491	3	55
wardHpFirst	xianghuo	2	1.5421	emblem:talis	prop	-	1.0041	0.651	0.6748	0.438		1.0041	33	55
