trait	fac	tier	figH	kind	type	inst	unit	ratio	p50	ratio50	over	groupMax	atFrame	frames
eliteOpenShot	zuling	1	2.0205	emblem:sun	prop	-	0.8695	0.43	0.8695	0.43		0.8695	6	18
eliteOpenShot	zuling	1	2.0205	prop:sun	prop	inst	0.72	0.356	0.72	0.356		0.6	2	18
eliteOpenShot	zuling	1	2.0205	mark:sun	prop	-	0.7301	0.361	0.6583	0.326		0.7301	13	18
eliteOpenShot	zuling	1	2.0205	floor:pillar	other	-	1.32	0.653	1.32	0.653		1.32	0	18
eliteOpenShot	zuling	1	2.0205	trail	other	-	0	0	0	0		0	0	18
wardHpFront2	zuling	1	1.5872	prop:rhomb	prop	inst	0.51	0.321	0.51	0.321		0.32	2	18
wardHpFront2	zuling	1	1.5872	emblem:rhomb	prop	-	1.0149	0.639	0.7237	0.456		1.0149	6	54
wardHpFront2	zuling	1	1.5872	floor:pillar	other	-	1.24	0.781	1.24	0.781		1.24	0	18
eliteArmor	zuling	1	2.0911	prop:bead	prop	inst	0.204	0.098	0.204	0.098		0.095	2	18
eliteArmor	zuling	1	2.0911	emblem:bead	prop	-	0.7052	0.337	0.6157	0.294		0.7052	6	36
eliteArmor	zuling	1	2.0911	floor:pillar	other	-	1.28	0.612	1.28	0.612		1.28	0	18
wardFirst	zuling	1	1.6404	emblem:eye	prop	-	1.0709	0.653	0.7318	0.446		1.0709	6	54
wardFirst	zuling	1	1.6404	floor:pillar	other	-	1.26	0.768	1.26	0.768		1.26	0	18
boltGamble	zuling	1	1.9187	prop:bolt	prop	inst	0.45	0.235	0.45	0.235		0.156	1	18
boltGamble	zuling	1	1.9187	emblem:bolt	prop	-	1.14	0.594	1.14	0.594		1.14	6	18
boltGamble	zuling	1	1.9187	mark:bolt	prop	-	0.594	0.31	0.594	0.31		0.594	0	18
boltGamble	zuling	1	1.9187	floor:pillar	other	-	1.3	0.678	1.3	0.678		1.3	0	18
boltGamble	zuling	1	1.9187	trail	other	-	0	0	0	0		0	0	18
swarmHalfSplash	zuling	1	0.8054	prop:wave	prop	inst	0.2976	0.37	0.2976	0.37		0.12	1	18
swarmHalfSplash	zuling	1	0.8054	emblem:wave	prop	-	0.8434	1.047	0.4914	0.61	OVER	0.8434	6	72
swarmHalfSplash	zuling	1	0.8054	floor:pillar	other	-	1.16	1.44	1.16	1.44		1.16	0	18
swarmThorn	zuling	1	1.1178	prop:tusk	prop	inst	0.4845	0.433	0.4845	0.433		0.16	1	18
swarmThorn	zuling	1	1.1178	emblem:tusk	prop	-	0.7276	0.651	0.7276	0.651		0.7276	6	18
swarmThorn	zuling	1	1.1178	mark:tusk	prop	-	0.6143	0.55	0.6143	0.55		0.6143	0	18
swarmThorn	zuling	1	1.1178	floor:pillar	other	-	1.14	1.02	1.14	1.02		1.14	0	18
swarmThorn	zuling	1	1.1178	trail	other	-	0	0	0	0		0	0	18
eliteSelfCut	zuling	1	2.2372	emblem:knife	prop	-	1.1281	0.504	0.673	0.301		1.1281	6	36
eliteSelfCut	zuling	1	2.2372	prop:knife	prop	inst	0.255	0.114	0	0		0.0864	11	18
eliteSelfCut	zuling	1	2.2372	floor:pillar	other	-	1.3	0.581	1.3	0.581		1.3	0	18
wardHpAll1	zuling	1	1.6118	prop:crag	prop	inst	0.2394	0.149	0.2394	0.149		0.12	2	18
wardHpAll1	zuling	1	1.6118	emblem:crag	prop	-	0.8257	0.512	0.792	0.491		0.8257	6	54
wardHpAll1	zuling	1	1.6118	floor:pillar	other	-	1.26	0.782	1.26	0.782		1.26	0	18
wardAtkAll1	xianghuo	1	1.4377	emblem:flag	prop	-	0.9433	0.656	0.7328	0.51		0.9433	9	18
wardAtkAll1	xianghuo	1	1.4377	mark:flag	prop	-	0.6541	0.455	0.6541	0.455		0.6541	0	36
wardAtkAll1	xianghuo	1	1.4377	ring	other	-	0.68	0.473	0.68	0.473		0.68	0	18
wardAtkAll1	xianghuo	1	1.4377	trail	other	-	0	0	0	0		0	0	18
eliteCleave	xianghuo	1	2.0338	emblem:blade	prop	-	1.1813	0.581	0.6507	0.32		1.1813	10	54
eliteCleave	xianghuo	1	2.0338	ring	other	-	0.68	0.334	0.68	0.334		0.68	0	18
eliteCleave	xianghuo	1	2.0338	trail	other	-	0	0	0	0		0	0	18
wardAbsorb4	xianghuo	1	1.5517	prop:boat	prop	inst	0.9597	0.618	0.7872	0.507		0.04	12	18
wardAbsorb4	xianghuo	1	1.5517	emblem:boat	prop	-	1.012	0.652	0.6824	0.44		1.012	12	54
wardAbsorb4	xianghuo	1	1.5517	ring	other	-	0.68	0.438	0.68	0.438		0.68	0	18
wardImmuneLost	xianghuo	1	1.6006	emblem:bell	prop	-	0.998	0.624	0.6487	0.405		0.998	10	18
wardImmuneLost	xianghuo	1	1.6006	floor:bell	other	inst	2.1	1.312	1.2474	0.779		0.004	15	18
wardImmuneLost	xianghuo	1	1.6006	mark:bell	prop	-	0.895	0.559	0.6478	0.405		0.895	13	36
wardImmuneLost	xianghuo	1	1.6006	ring	other	-	0.68	0.425	0.68	0.425		0.68	0	18
swarmRally	xianghuo	1	1.0645	emblem:banner5	prop	-	0.7041	0.661	0.536	0.504		0.7041	12	90
swarmRally	xianghuo	1	1.0645	floor:banner5	other	inst	2.4	2.255	1.4878	1.398		0	15	18
swarmRally	xianghuo	1	1.0645	ring	other	-	0.68	0.639	0.68	0.639		0.68	0	18
biteGamble	xianghuo	1	1.9619	emblem:seal	prop	-	1.176	0.599	0.9562	0.487		1.176	13	18
biteGamble	xianghuo	1	1.9619	ring	other	-	1.44	0.734	0.88	0.449		1.44	15	36
biteGamble	xianghuo	1	1.9619	prop:seal	prop	inst	0.276	0.141	0.145	0.074		0.72	15	54
wardHpFirst	xianghuo	1	1.5667	prop:talis	prop	inst	0.186	0.119	0.186	0.119		0.1491	1	18
wardHpFirst	xianghuo	1	1.5667	emblem:talis	prop	-	1.004	0.641	0.724	0.462		1.004	12	18
wardHpFirst	xianghuo	1	1.5667	ring	other	-	1.04	0.664	1.04	0.664		1.04	0	18
wardRegen1	xianghuo	1	1.6467	emblem:lamp	prop	-	0.938	0.57	0.7246	0.44		0.938	10	18
wardRegen1	xianghuo	1	1.6467	mark:lamp	prop	-	0.6451	0.392	0.5369	0.326		0.6451	13	18
wardRegen1	xianghuo	1	1.6467	ring	other	-	1.04	0.632	1.04	0.632		1.04	0	18
wardRegen1	xianghuo	1	1.6467	trail	other	-	0	0	0	0		0	0	18
swarmLastStand	xianghuo	1	1.1229	emblem:tornflag	prop	-	0.9183	0.818	0.6864	0.611	OVER	0.9183	12	18
swarmLastStand	xianghuo	1	1.1229	ring	other	-	0.56	0.499	0.56	0.499		0.56	0	18
hauntLost	yinqi	1	1.116	orb	other	-	0.056	0.05	0.056	0.05		0.056	0	54
hauntSteal	yinqi	1	1.0399	bolt	other	-	3.0477	2.931	2.6879	2.585		3.0477	0	54
hauntSteal	yinqi	1	1.0399	orb	other	-	0.048	0.046	0.048	0.046		0.048	0	54
hauntSee	yinqi	1	1.1743	ring	other	-	1.088	0.927	0.7572	0.645		1.088	14	18
hauntSee	yinqi	1	1.1743	beam	other	-	2.7047	2.303	2.5097	2.137		2.7047	0	72
hauntDread1	yinqi	1	1.1118	ring	other	-	1.52	1.367	0.76	0.684		1.52	14	36
hauntSwap	yinqi	1	1.1485	bolt	other	-	2.5123	2.187	2.5123	2.187		2.5123	0	18
hauntSwap	yinqi	1	1.1485	ring	other	-	1.02	0.888	0.6	0.522		1.02	16	18
eliteVsSwarm	yinqi	1	1.7392	orb	other	-	0.04	0.023	0.04	0.023		0.04	0	18
swarmPierce	yinqi	1	0.9046	beam	other	-	4.733	5.232	4.733	5.232		4.733	0	36
hauntFearX2	yinqi	1	1.1154	ring	other	-	1.496	1.341	0.8244	0.739		1.496	15	36
swarmFeed1	yinqi	1	0.9641	orb	other	-	0.076	0.079	0.076	0.079		0.076	0	54
swarmFeed1	yinqi	1	0.9641	disc	other	-	1.28	1.328	0.24	0.249		1.28	16	18
eliteBlind	zuling	1	1.9187	orb	other	-	0.16	0.083	0.16	0.083		0.16	7	18
eliteBlind	zuling	1	1.9187	dome	other	-	2.25	1.173	2.2015	1.147		2.25	15	10
eliteBlind	zuling	1	1.9187	beam	other	-	3.8511	2.007	3.8511	2.007		3.8511	8	10
wardGuardAll	xianghuo	1	1.2269	ring	other	-	0.63	0.513	0.5782	0.471		0.63	17	9
wardGuardAll	xianghuo	1	1.2269	dome	other	-	1.56	1.271	1.4246	1.161		1.56	17	9
hauntAnswer	yinqi	1	0.8259	orb	other	-	0.11	0.133	0.11	0.133		0.11	6	37
hauntAnswer	yinqi	1	0.8259	disc	other	-	0.748	0.906	0.5658	0.685		0.748	17	12
