trait	fac	tier	figH	kind	type	inst	unit	ratio	p50	ratio50	over	groupMax	atFrame	frames
eliteCleave	xianghuo	2	1.9203	emblem:blade	prop	-	1.1813	0.615	0.7779	0.405		1.1813	26	55
eliteCleave	xianghuo	2	1.9203	trail	other	-	0	0	0	0		0	0	110
