trait	fac	tier	figH	kind	type	inst	unit	ratio	p50	ratio50	over	groupMax	atFrame	frames
swarmRally	xianghuo	2	1.0577	emblem:banner5	prop	-	0.7042	0.666	0.5289	0.5		0.7042	33	275
swarmRally	xianghuo	2	1.0577	floor:banner5	other	inst	2.4	2.269	1.6637	1.573		0	43	55
